Wavelength (nm),E_res (eV),Width (nm),Length (nm),AspectRatio,Linewidth (eV),Linewidth (nm),MaxCscat
625,1.983744,100,155,1.55,0.469689966,148,5.54E-14
675,1.8368,100,178,1.78,0.465262625,171,7.19E-14
914,1.356498906,14.9534,83.05,5.553920847,0.081616863,55,1.40E-15
900,1.3776,15.0758,80.6873,5.352107351,0.081114866,53,1.35E-15
856,1.448411215,15.237,75.8984,4.981190523,0.077825139,46,1.37E-15
876,1.415342466,15.3511,78.4598,5.11102136,0.079158484,49,1.41E-15
880,1.408909091,15.3511,79.1598,5.156620698,0.080041324,50,1.43E-15
906,1.368476821,15.5534,82.5011,5.304377178,0.081554319,54,1.49E-15
909,1.363960396,15.5534,83.05,5.339668497,0.082517208,55,1.51E-15
891,1.391515152,15.5758,80.0872,5.141771209,0.081200282,52,1.44E-15
894,1.386845638,15.5758,80.6873,5.180298925,0.082207309,53,1.45E-15
877,1.41372862,15.6758,80.1873,5.115356154,0.080589863,50,1.58E-15
966,1.283478261,15.7418,93.9517,5.968294604,0.085022784,64,1.93E-15
902,1.374545455,15.826,83.9736,5.30605333,0.082279243,54,1.68E-15
851,1.456921269,15.837,75.8984,4.792473322,0.077030549,45,1.47E-15
881,1.407309875,15.8758,80.6873,5.082408446,0.079859721,50,1.60E-15
863,1.436662804,15.8817,77.6958,4.8921589,0.079896775,48,1.52E-15
865,1.43334104,15.8817,78.2407,4.926468829,0.077870909,47,1.53E-15
922,1.34472885,16.0157,88.585,5.531135074,0.083123269,57,1.88E-15
915,1.355016393,16.0332,87.3932,5.450764663,0.082919264,56,1.85E-15
843,1.470747331,16.037,75.8984,4.732705618,0.07675508,44,1.54E-15
884,1.402533937,16.0534,82.5011,5.139166781,0.080904979,51,1.72E-15
855,1.450105263,16.0817,77.6958,4.831317585,0.078007292,46,1.59E-15
817,1.51755202,16.086,71.6312,4.453015044,0.074289166,40,1.41E-15
864,1.435,16.1884,83.05,5.130216698,0.079711935,48,2.04E-15
846,1.465531915,16.2345,80.0435,4.930456743,0.077943767,45,1.94E-15
816,1.519411765,16.237,74.8984,4.612822566,0.076333142,41,1.76E-15
879,1.410511945,16.2727,85.3412,5.244440074,0.080223546,50,2.11E-15
834,1.486618705,16.2817,77.6958,4.771970986,0.078420603,44,1.86E-15
888,1.396216216,16.3333,86.5933,5.301641432,0.081749859,52,2.14E-15
890,1.393078652,16.3333,87.0933,5.332253739,0.081382857,52,2.16E-15
847,1.463801653,16.3345,80.0435,4.90027243,0.077759829,45,1.94E-15
901,1.376071032,16.3463,88.6663,5.424242795,0.082461984,54,2.20E-15
868,1.428387097,16.426,82.9736,5.051357604,0.080624351,49,2.01E-15
850,1.458635294,16.4345,80.0435,4.870455444,0.078927724,46,1.92E-15
795,1.55954717,16.486,70.6312,4.284313963,0.072573333,37,1.58E-15
801,1.547865169,16.486,71.6312,4.344971491,0.073422331,38,1.62E-15
933,1.328874598,16.5342,95.635,5.784071803,0.085447147,60,2.60E-15
827,1.499201935,16.5345,78.0435,4.720039917,0.076128605,42,2.00E-15
836,1.483062201,16.5345,79.5435,4.810759321,0.079819603,45,2.05E-15
839,1.477759237,16.5345,80.0435,4.840999123,0.077488697,44,2.07E-15
841,1.474244946,16.5345,80.3435,4.859143004,0.07887332,45,2.08E-15
887,1.397790304,16.561,88.1253,5.321254755,0.081934292,52,2.35E-15
836,1.483062201,16.6758,79.1873,4.748635748,0.078045834,44,2.04E-15
886,1.399367946,16.7157,87.885,5.257632047,0.083698568,53,2.34E-15
887,1.397790304,16.7157,88.085,5.269596846,0.083509952,53,2.34E-15
862,1.438329466,16.7333,83.6933,5.001601597,0.080082258,48,2.20E-15
861,1.44,16.7356,83.6018,4.995446832,0.080268387,48,2.20E-15
859,1.443352736,16.826,82.9736,4.93127303,0.080642598,48,2.17E-15
